condition,drugName,rating,usefulCount
Depression,Mirtazapine,10,22
"Crohn's Disease, Maintenance",Mesalamine,8,17
Urinary Tract Infection,Bactrim,9,3
Weight Loss,Contrave,9,35
Birth Control,Cyclafem 1 / 35,9,4
Keratosis,Zyclara,4,13
Birth Control,Copper,6,1
Migraine Prevention,Amitriptyline,9,32
Opiate Withdrawal,Methadone,7,21
Birth Control,Levora,2,3
Hot Flashes,Paroxetine,1,17
Vaginal Yeast Infection,Miconazole,6,7
Weight Loss,Belviq,1,57
Schizoaffective Disorde,Seroquel,10,19
Insomnia,Ambien,2,44
Narcolepsy,Nuvigil,9,14
Smoking Cessation,Chantix,10,26
Acne,Microgestin Fe 1 / 20,3,1
Bipolar Disorde,Klonopin,6,24
Urinary Tract Infection,Ciprofloxacin,10,9
Insomnia,Trazodone,1,15
Irritable Bowel Syndrome,EnteraGam,9,43
Bipolar Disorde,Aripiprazole,1,27
Keratoconjunctivitis Sicca,Cyclosporine,1,17
Hyperhidrosis,Oxybutynin,9,10
Bipolar Disorde,Lurasidone,6,18
Panic Disorde,Clonazepam,10,47
"Onychomycosis, Fingernail",Ciclopirox,8,38
Narcolepsy,Sodium oxybate,10,19
Bipolar Disorde,Lamotrigine,7,1
Birth Control,Blisovi Fe 1 / 20,10,4
Rosacea,Ivermectin,10,19
Bowel Preparation,Suprep Bowel Prep Kit,8,15
"Constipation, Drug Induced",Movantik,1,24
,Lorcaserin,5,21
"Diabetes, Type 2",Actos,4,42
Pain,Duloxetine,9,32
Birth Control,NuvaRing,7,0
Depression,Escitalopram,9,32
Lipodystrophy,Tesamorelin,3,12
Alcohol Dependence,Campral,10,55
Bipolar Disorde,Gabapentin,8,75
Emergency Contraception,Levonorgestrel,10,20
Birth Control,Aubra,1,6
Emergency Contraception,Plan B One-Step,8,21
Birth Control,Ethinyl estradiol / etonogestrel,10,4
Birth Control,Microgestin Fe 1.5 / 30,1,4
Major Depressive Disorde,Wellbutrin,8,49
Anxiety,Clonazepam,6,20
Acne,Benzoyl peroxide / clindamycin,4,2
Birth Control,Etonogestrel,3,0
Vaginal Yeast Infection,Miconazole,1,5
Bladder Infection,Nitrofurantoin,9,7
Birth Control,Etonogestrel,5,7
Birth Control,Ortho Tri-Cyclen Lo,9,7
Benign Prostatic Hyperplasia,Tamsulosin,6,104
Rheumatoid Arthritis,Tofacitinib,9,75
Endometriosis,Cryselle,7,14
ADHD,Amphetamine / dextroamphetamine,2,57
Acne,Clindamycin,8,32
Restless Legs Syndrome,Pramipexole,1,16
Birth Control,Skyla,10,3
"Conjunctivitis, Allergic",Lastacaft,1,36
